colony_id,trial_id,discovery_rate,avg_chemical,max_ants
1,1,1.0,0.5624203338459224,100
1,2,1.0,0.5751507009311442,100
2,1,1.0,0.44181574864946616,100
2,2,1.0,0.4933279075151938,100
